season,player_id,player_name,role,pa,woba
2023,666135,"Kirilloff, Alex",BAT,319.0,0.343
2023,666139,"Lowe, Josh",BAT,501.0,0.354
2023,666149,"Fitzgerald, Tyler",BAT,34.0,0.31
2023,666150,"Fletcher, Dominic",BAT,102.0,0.34
2023,666152,"Hamilton, David",BAT,39.0,0.216
2023,666160,"Moniak, Mickey",BAT,324.0,0.338
2023,666163,"Rortvedt, Ben",BAT,79.0,0.219
2023,666164,"Rutherford, Blake",BAT,36.0,0.166
2023,666165,"Sabol, Blake",BAT,344.0,0.303
2023,666176,"Adell, Jo",BAT,62.0,0.299
2023,666181,"Benson, Will",BAT,329.0,0.369
2023,666182,"Bichette, Bo",BAT,601.0,0.349
2023,666185,"Carlson, Dylan",BAT,255.0,0.293
2023,666197,"Kessinger, Grae",BAT,45.0,0.275
2023,666198,"Kieboom, Carter",BAT,94.0,0.277
2023,666211,"Trammell, Taylor",BAT,56.0,0.279
2023,666310,"Naylor, Bo",BAT,230.0,0.347
2023,666397,"Julien, Edouard",BAT,408.0,0.366
2023,666624,"Morel, Christopher",BAT,429.0,0.347
2023,666703,"Rosario, Eguy",BAT,37.0,0.322
2023,666801,"Castro, Rodolfo",BAT,256.0,0.277
2023,666906,"Alu, Jake",BAT,175.0,0.256
2023,666915,"Dalbec, Bobby",BAT,53.0,0.254
2023,666969,"García, Adolis",BAT,632.0,0.354
2023,666971,"Gurriel Jr., Lourdes",BAT,592.0,0.329
2023,667452,"Julks, Corey",BAT,323.0,0.286
2023,667472,"Myers, Dane",BAT,70.0,0.278
2023,667670,"Rooker, Brent",BAT,526.0,0.348
2023,668227,"Arozarena, Randy",BAT,654.0,0.347
2023,668472,"Pratto, Nick",BAT,345.0,0.292
2023,668663,"Barrera, Tres",BAT,2.0,0.0
2023,668670,"Rogers, Jake",BAT,365.0,0.312
2023,668709,"Bleday, JJ",BAT,303.0,0.297
2023,668715,"Steer, Spencer",BAT,665.0,0.355
2023,668731,"Baddoo, Akil",BAT,357.0,0.299
2023,668751,"Mitchell, Cal",BAT,5.0,0.139
2023,668800,"Knizner, Andrew",BAT,241.0,0.306
2023,668804,"Reynolds, Bryan",BAT,640.0,0.338
2023,668843,"Capel, Conner",BAT,86.0,0.322
2023,668901,"Vientos, Mark",BAT,233.0,0.267
2023,668904,"Lewis, Royce",BAT,239.0,0.393
2023,668930,"Turang, Brice",BAT,448.0,0.262
2023,668939,"Rutschman, Adley",BAT,687.0,0.352
2023,668942,"Rojas, Josh",BAT,350.0,0.284
2023,668952,"Kreidler, Ryan",BAT,18.0,0.098
2023,669003,"Mitchell, Garrett",BAT,73.0,0.326
2023,669004,"Melendez, MJ",BAT,602.0,0.31
2023,669016,"Marsh, Brandon",BAT,472.0,0.358
2023,669023,"Downs, Jeter",BAT,9.0,0.505
2023,669065,"Stowers, Kyle",BAT,33.0,0.117
2023,669087,"Huff, Sam",BAT,46.0,0.33
2023,669127,"Langeliers, Shea",BAT,490.0,0.29
2023,669134,"Campusano, Luis",BAT,174.0,0.364
2023,669200,"McCoy, Mason",BAT,1.0,0.0
2023,669221,"Murphy, Sean",BAT,438.0,0.366
2023,669222,"Senzel, Nick",BAT,330.0,0.302
2023,669224,"Wells, Austin",BAT,75.0,0.309
2023,669242,"Edman, Tommy",BAT,528.0,0.306
2023,669257,"Smith, Will",BAT,554.0,0.345
2023,669261,"Suwinski, Jack",BAT,534.0,0.341
2023,669289,"Espinal, Santiago",BAT,254.0,0.285
2023,669304,"Miranda, Jose F",BAT,152.0,0.252
2023,669352,"Thompson, Bubba",BAT,60.0,0.23
2023,669357,"Gorman, Nolan",BAT,464.0,0.345
2023,669364,"Edwards, Xavier",BAT,84.0,0.295
2023,669369,"Johnson, Bryce",BAT,48.0,0.218
2023,669392,"Taylor, Samad",BAT,69.0,0.248
2023,669394,"Burger, Jake",BAT,540.0,0.349
2023,669397,"Allen, Nick",BAT,329.0,0.245
2023,669450,"Hummel, Cooper",BAT,26.0,0.163
2023,669477,"Schmitt, Casey",BAT,277.0,0.254
2023,669699,"Shewmake, Braden",BAT,4.0,0.0
2023,669701,"Smith, Josh",BAT,232.0,0.287
