game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,model_tag,snapshot_utc,scheduled_start_utc
824410,2026-07-20,2026-07-20T22:40:00Z,Minnesota Twins @ Cleveland Guardians,away,Joe Ryan,Cleveland Guardians,9,0.279,0.293,0.317,0.258,-0.059,0.215,0.226,0.244,0.199,-0.045,0.365,0.344,0.4,0.314,-0.086,41.8,33.261,39.393,35.293,-4.1,89.5,87.437,88.946,87.991,-0.955,19.0,15.939,13.93,21.009,7.079,28.4,22.739,22.144,29.163,7.019,5.6,10.057,8.98,6.272,-2.708,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T22:40:00Z
824410,2026-07-20,2026-07-20T22:40:00Z,Minnesota Twins @ Cleveland Guardians,home,Tanner Bibee,Minnesota Twins,9,0.332,0.327,0.317,0.342,0.025,0.262,0.249,0.244,0.267,0.023,0.442,0.427,0.4,0.472,0.072,41.3,42.157,39.393,44.198,4.805,89.6,89.616,88.946,90.27,1.324,16.1,15.362,13.93,17.532,3.602,19.0,20.798,22.144,17.845,-4.299,7.4,8.444,8.98,6.958,-2.022,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T22:40:00Z
824654,2026-07-20,2026-07-21T00:05:00Z,Detroit Tigers @ Chicago Cubs,away,Jack Flaherty,Chicago Cubs,9,0.321,0.327,0.317,0.331,0.014,0.236,0.242,0.244,0.234,-0.01,0.39,0.405,0.4,0.395,-0.005,47.3,40.314,39.393,48.406,9.013,90.7,89.001,88.946,90.755,1.809,21.2,16.066,13.93,23.336,9.406,26.4,21.951,22.144,26.17,4.026,10.8,11.383,8.98,13.69,4.71,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:05:00Z
824654,2026-07-20,2026-07-21T00:05:00Z,Detroit Tigers @ Chicago Cubs,home,Jameson Taillon,Detroit Tigers,9,0.357,0.323,0.317,0.364,0.047,0.253,0.245,0.244,0.254,0.01,0.519,0.417,0.4,0.541,0.141,38.4,39.908,39.393,38.902,-0.491,88.5,88.759,88.946,88.313,-0.633,18.0,17.633,13.93,21.703,7.773,20.6,22.723,22.144,21.139,-1.005,8.0,8.859,8.98,7.892,-1.088,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:05:00Z
824736,2026-07-20,2026-07-20T23:10:00Z,Baltimore Orioles @ Boston Red Sox,away,Shane Baz,Boston Red Sox,9,0.322,0.315,0.317,0.32,0.003,0.258,0.245,0.244,0.259,0.015,0.406,0.394,0.4,0.4,-0.0,41.4,37.659,39.393,39.578,0.185,90.3,88.496,88.946,89.85,0.904,13.5,14.388,13.93,13.958,0.028,20.5,21.608,22.144,20.004,-2.14,8.7,7.959,8.98,7.711,-1.269,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:10:00Z
824736,2026-07-20,2026-07-20T23:10:00Z,Baltimore Orioles @ Boston Red Sox,home,Payton Tolle,Baltimore Orioles,9,0.271,0.324,0.317,0.277,-0.04,0.21,0.242,0.244,0.208,-0.036,0.337,0.413,0.4,0.348,-0.052,34.4,42.14,39.393,36.799,-2.594,87.6,89.933,88.946,88.587,-0.359,19.2,13.642,13.93,18.912,4.982,25.5,24.059,22.144,27.705,5.561,7.3,9.821,8.98,7.984,-0.996,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:10:00Z
824898,2026-07-20,2026-07-20T23:15:00Z,San Diego Padres @ Atlanta Braves,away,JP Sears,Atlanta Braves,9,0.354,0.326,0.317,0.364,0.047,0.277,0.256,0.244,0.291,0.047,0.469,0.431,0.4,0.505,0.105,47.5,41.169,39.393,49.641,10.248,91.2,89.435,88.946,91.689,2.743,15.6,14.092,13.93,15.762,1.832,19.8,20.979,22.144,18.758,-3.386,9.3,7.245,8.98,7.503,-1.477,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:15:00Z
824898,2026-07-20,2026-07-20T23:15:00Z,San Diego Padres @ Atlanta Braves,home,Bryce Elder,San Diego Padres,9,0.303,0.317,0.317,0.303,-0.014,0.247,0.248,0.244,0.251,0.007,0.385,0.396,0.4,0.381,-0.019,39.8,42.096,39.393,42.531,3.138,90.0,89.344,88.946,90.398,1.452,13.2,8.94,13.93,8.21,-5.72,19.8,19.997,22.144,17.88,-4.264,7.4,8.666,8.98,7.141,-1.839,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:15:00Z
825058,2026-07-20,2026-07-21T01:40:00Z,Athletics @ Arizona Diamondbacks,away,Jeffrey Springs,Arizona Diamondbacks,9,0.33,0.31,0.317,0.323,0.006,0.245,0.244,0.244,0.245,0.001,0.442,0.379,0.4,0.419,0.019,34.9,36.489,39.393,32.327,-7.066,87.8,88.307,88.946,87.161,-1.785,17.3,14.351,13.93,17.721,3.791,19.5,20.455,22.144,18.013,-4.131,8.6,9.076,8.98,8.692,-0.288,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T01:40:00Z
825058,2026-07-20,2026-07-21T01:40:00Z,Athletics @ Arizona Diamondbacks,home,Mitch Bratt,Athletics,9,0.382,0.312,0.317,0.376,0.059,0.263,0.249,0.244,0.268,0.024,0.481,0.395,0.4,0.475,0.075,50.0,38.995,39.393,49.495,10.102,89.5,88.736,88.946,89.29,0.344,11.0,11.023,13.93,8.093,-5.837,10.7,20.026,22.144,9.677,-12.467,17.9,8.016,8.98,15.978,6.998,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T01:40:00Z
