game_pk,faced_pitcher,pitcher_side,batting_side,player_id,batting_order,PA,xwoba_raw,xwoba_shrunk,slot_weight,savant_backfill,model_tag,model_metric,snapshot_utc
824062,Derek Law,away,home,677951,2.0,553.0,0.385,0.3742173978390246,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,686469,3.0,414.0,0.328,0.32539097429743785,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,521692,4.0,560.0,0.309,0.30984691028618644,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,686681,5.0,381.0,0.306,0.3077857812658691,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,679845,6.0,376.0,0.297,0.3006952957749644,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,670231,7.0,106.0,0.316,0.3153153436353545,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,683090,8.0,4.0,0.001,0.3025284691238753,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,664728,9.0,277.0,0.262,0.2759494981137481,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,672695,1.0,598.0,0.328,0.3260787403852192,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,606466,2.0,540.0,0.349,0.3436233762326297,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,672515,3.0,473.0,0.365,0.35620237484970857,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,571448,4.0,523.0,0.283,0.28807056306401774,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,666971,5.0,189.0,0.277,0.29000678473661945,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,545121,6.0,448.0,0.3,0.30266233720599095,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,694374,7.0,287.0,0.303,0.305994730720628,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,691783,8.0,91.0,0.309,0.3119264962768745,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Noah Cameron,home,away,814439,9.0,263.0,0.304,0.30691724735229486,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,694192,1.0,495.0,0.333,0.3299058164519043,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,668930,2.0,604.0,0.336,0.3329587511205725,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,661388,3.0,573.0,0.333,0.33026442910680986,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,683734,4.0,308.0,0.337,0.33150725683549764,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,592885,5.0,442.0,0.317,0.31655527820827134,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,800325,6.0,159.0,0.313,0.3136137482196257,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,806198,7.0,209.0,0.313,0.31351443620997743,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,669003,8.0,464.0,0.35,0.34372156168241663,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Matthew Boyd,away,home,687401,9.0,359.0,0.295,0.2992678884289391,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,691718,1.0,645.0,0.371,0.36342813528709134,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,673548,2.0,559.0,0.339,0.3352958433822201,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823742,Robert Gasser,home,away,608324,3.0,644.0,0.318,0.31754161396355246,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
