game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
823760,2026-07-21,New York Mets @ Milwaukee Brewers,away,Zac Thornton,L,Milwaukee Brewers,9,4,5,0,5,0,24,True,False,0.782,0.758,0.533,0.642,0.689,-0.033,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823760,2026-07-21,New York Mets @ Milwaukee Brewers,home,Brandon Sproat,R,New York Mets,9,4,4,1,5,0,167,False,True,0.727,0.726,0.782,0.774,0.771,0.049,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824005,2026-07-21,St. Louis Cardinals @ Los Angeles Angels,away,Matthew Liberatore,L,Los Angeles Angels,9,2,7,0,7,1,103,False,True,0.717,0.722,0.814,0.793,0.794,0.072,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824005,2026-07-21,St. Louis Cardinals @ Los Angeles Angels,home,Walbert Ureña,R,St. Louis Cardinals,9,4,5,0,4,0,164,False,True,0.74,0.738,0.618,0.638,0.653,-0.069,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824085,2026-07-21,San Francisco Giants @ Kansas City Royals,away,Tyler Mahle,R,Kansas City Royals,9,4,4,1,5,0,154,False,True,0.729,0.728,0.794,0.78,0.781,0.059,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824085,2026-07-21,San Francisco Giants @ Kansas City Royals,home,Luinder Avila,R,San Francisco Giants,9,5,4,0,5,0,92,False,True,0.774,0.77,0.831,0.791,0.836,0.114,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824165,2026-07-21,Miami Marlins @ Houston Astros,away,Tyler Phillips,R,Houston Astros,9,2,7,0,2,0,145,False,True,0.775,0.764,0.644,0.677,0.733,0.011,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824165,2026-07-21,Miami Marlins @ Houston Astros,home,Tatsuya Imai,R,Miami Marlins,9,4,4,1,5,0,87,False,True,0.743,0.744,0.733,0.746,0.762,0.04,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824329,2026-07-21,Washington Nationals @ Colorado Rockies,away,Miles Mikolas,R,Colorado Rockies,9,4,4,1,5,0,178,False,True,0.769,0.763,0.799,0.786,0.825,0.103,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824329,2026-07-21,Washington Nationals @ Colorado Rockies,home,Michael Lorenzen,R,Washington Nationals,9,5,2,2,7,0,213,False,True,0.791,0.79,0.949,0.911,0.973,0.251,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824409,2026-07-21,Minnesota Twins @ Cleveland Guardians,away,Kendry Rojas,L,Cleveland Guardians,9,5,2,2,4,0,35,True,False,0.64,0.66,0.683,0.687,0.648,-0.074,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824409,2026-07-21,Minnesota Twins @ Cleveland Guardians,home,Parker Messick,L,Minnesota Twins,9,2,4,3,7,0,125,False,True,0.69,0.716,0.616,0.626,0.624,-0.098,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824652,2026-07-21,Detroit Tigers @ Chicago Cubs,away,Framber Valdez,L,Chicago Cubs,9,3,5,1,6,1,108,False,True,0.945,0.763,0.694,0.696,0.745,0.023,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824652,2026-07-21,Detroit Tigers @ Chicago Cubs,home,David Peterson,L,Detroit Tigers,9,5,4,0,4,2,120,False,True,0.606,0.687,0.799,0.767,0.753,0.031,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824735,2026-07-21,Baltimore Orioles @ Boston Red Sox,away,Kyle Bradish,R,Boston Red Sox,9,3,6,0,3,0,179,False,True,0.698,0.707,0.705,0.702,0.695,-0.027,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824735,2026-07-21,Baltimore Orioles @ Boston Red Sox,home,Ranger Suarez,L,Baltimore Orioles,9,3,5,1,6,0,100,False,True,0.675,0.699,0.633,0.627,0.613,-0.109,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824895,2026-07-21,San Diego Padres @ Atlanta Braves,away,Walker Buehler,R,Atlanta Braves,9,4,4,1,5,0,180,False,True,0.755,0.758,0.766,0.761,0.792,0.07,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
824895,2026-07-21,San Diego Padres @ Atlanta Braves,home,Reynaldo López,R,San Diego Padres,9,3,5,1,4,0,111,False,True,0.659,0.671,0.688,0.699,0.651,-0.071,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
825056,2026-07-21,Athletics @ Arizona Diamondbacks,away,Jack Perkins,R,Arizona Diamondbacks,9,2,3,4,6,0,129,False,True,0.686,0.707,0.764,0.767,0.74,0.018,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
825056,2026-07-21,Athletics @ Arizona Diamondbacks,home,Kohl Drake,L,Athletics,9,4,4,1,5,1,0,True,False,0.758,0.72,,0.706,0.72,-0.002,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
