game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
823267,2026-08-08,2026-08-08T23:15:00Z,Houston Astros @ San Diego Padres,away,Peter Lambert,San Diego Padres,9,measured,449.0,0.31404536694757884,0.31231256482274483,-0.0017328021248340097,0.2977428806434868,0.31231256482274483,0.3163338270549253,0.29452739839500547,-0.02180642865991983,0.30498841588648895,0.3011113774759116,-0.015222449579013697,0.204,0.24612988047808768,0.24378504023576478,0.2059621688392826,-0.03782287139648219,0.343,0.393067994687915,0.3969490219731558,0.33964644000829,-0.05730258196486582,37.7,41.23330677290837,39.28629401704181,39.56839666944224,0.2821026524004253,88.9,89.44733067729084,88.91571263867574,89.4316180386151,0.5159053999393564,19.3,10.42573705179283,13.979662673416252,15.746074378376578,1.7664117049603263,24.1,20.052164674634792,22.146082548214203,21.82133872239481,-0.3247438258193931,9.1,9.231500664010623,8.90165753027226,9.43719254046918,0.5355350101969201,0.28511647484705954,5.728070175438597,0.6353886503273259,0.36461134967267406,0.28305385105273023,-0.033279976002195066,7.0,1263.1052631578948,4.131901840490797,4.150926806252142,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
823267,2026-08-08,2026-08-08T23:15:00Z,Houston Astros @ San Diego Padres,home,Michael King,Houston Astros,9,measured,538.0,0.3300006016503528,0.3265395126729291,-0.0034610889774236986,0.28797775457316865,0.3265395126729291,0.3163338270549253,0.2983890757251577,-0.017944751329767583,0.2950714316217764,0.30459114152451555,-0.011742685530409747,0.244,0.2552427622841966,0.24378504023576478,0.2554678250031817,0.011682784767416937,0.409,0.4180114209827357,0.3969490219731558,0.4307018325227181,0.033752810549562307,33.3,38.03822045152723,39.28629401704181,32.2421030725472,-7.044190944494609,87.5,88.24270916334662,88.91571263867574,86.82699652467086,-2.0887161140048818,14.7,14.233625498007967,13.979662673416252,14.953962824591715,0.9743001511754628,21.2,19.31790172642762,22.146082548214203,18.492639305785016,-3.653443242429187,10.0,8.550013280212484,8.90165753027226,9.604967671623038,0.7033101413507783,0.27595624900123644,5.625,0.628898285230855,0.371101714769145,0.28787856501913334,-0.02845526203579196,7.0,1303.048717948718,4.127877237851662,4.059645142671892,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
823348,2026-08-08,2026-08-08T22:40:00Z,New York Mets @ Pittsburgh Pirates,away,Robert Stock,Pittsburgh Pirates,9,measured,18.0,0.32345445899401154,0.3220079782503196,-0.0014464807436919136,0.3043783787329934,0.3220079782503196,0.3163338270549253,0.3104957765876143,-0.005838050467311007,0.3175768338717461,0.3232732811607363,0.006939454105810983,0.28,0.24017583001328016,0.24378504023576478,0.2758546313534319,0.032069591117667134,0.545,0.39121274900398406,0.3969490219731558,0.5371242562768929,0.14017523430373707,42.9,39.97559096945551,39.28629401704181,43.652701164577145,4.366407147535334,87.2,89.11519256308101,88.91571263867574,87.39947992440527,-1.5162327142704726,17.1,12.862762284196547,13.979662673416252,15.983099610780299,2.0034369373640466,22.2,22.957662682602923,22.146082548214203,23.013556029343096,0.8674734811288936,0.0,10.458034528552457,8.90165753027226,0.0,-8.90165753027226,0.2908844932347119,5.0,0.505533991258879,0.494466008741121,0.29743226408930457,-0.018901562965620733,7.0,326.0,3.6,4.401478590577293,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T22:40:00Z,projected,projected,0,0,0,0
823348,2026-08-08,2026-08-08T22:40:00Z,New York Mets @ Pittsburgh Pirates,home,Bubba Chandler,New York Mets,9,measured,487.0,0.31451810992062934,0.31403869424997854,-0.0004794156706507957,0.30320969597761577,0.31403869424997854,0.3163338270549253,0.3012070546475026,-0.015126772407422717,0.3080898374310493,0.305854518181945,-0.01047930887298032,0.229,0.2532706507304117,0.24378504023576478,0.23791032854671235,-0.005874711689052431,0.367,0.4113144754316069,0.3969490219731558,0.38028160828573115,-0.016667413687424637,37.3,42.294103585657375,39.28629401704181,40.15573632526126,0.8694423082194476,88.9,89.37758300132802,88.91571263867574,89.36187036265228,0.4461577239765404,16.8,11.792138114209829,13.979662673416252,14.61247544079358,0.6328127673773274,20.1,22.411102257636124,22.146082548214203,20.340534466887473,-1.8055480813267302,12.5,8.136786188579016,8.90165753027226,11.425942529393947,2.5242849991216865,0.2969563918338474,4.958333333333334,0.5616683612609545,0.43833163873904546,0.29525189878670394,-0.02108192826822136,8.0,842.5700354609928,4.413897280966768,4.225910623301857,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T22:40:00Z,projected,projected,0,0,0,0
823426,2026-08-08,2026-08-08T22:05:00Z,Toronto Blue Jays @ Philadelphia Phillies,away,Max Scherzer,Philadelphia Phillies,9,measured,140.0,0.3308543791335534,0.3321877124668867,0.0013333333333332975,0.3076917601185435,0.3321877124668867,0.3163338270549253,0.3224808537238429,0.006147026668917588,0.33783959492984617,0.35477129735164015,0.03843747029671485,0.263,0.2612881806108898,0.24378504023576478,0.28188272518365365,0.03809768494788887,0.468,0.4112924302788845,0.3969490219731558,0.4849107737152581,0.0879617517421023,38.6,40.14257636122178,39.28629401704181,39.44132390983505,0.15502989279323742,88.8,89.54929614873838,88.91571263867574,89.43358351006263,0.51787087138689,19.6,12.297237715803455,13.979662673416252,17.917575042387206,3.937912368970954,16.4,20.046613545816733,22.146082548214203,14.845264910199887,-7.3008176380143155,10.7,8.282496679946878,8.90165753027226,9.95575421476825,1.05409668449599,0.2812594026585014,3.9791666666666665,0.4671662714272676,0.5328337285727325,0.2941699466933558,-0.02216388036156952,8.0,1207.327109896782,4.565217391304348,4.126653609482874,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T22:05:00Z,projected,projected,0,0,0,0
823426,2026-08-08,2026-08-08T22:05:00Z,Toronto Blue Jays @ Philadelphia Phillies,home,Aaron Nola,Toronto Blue Jays,9,measured,522.0,0.31378784419348715,0.3119602213515216,-0.001827622841965526,0.32373525954004506,0.3119602213515216,0.3163338270549253,0.3199109595189974,0.003577132464072097,0.3444699210305904,0.33970730798570464,0.023373480930779345,0.247,0.24894369189907042,0.24378504023576478,0.2522266823247408,0.008441642088976048,0.431,0.3781285524568393,0.3969490219731558,0.41056507785001933,0.013616055876863542,41.5,34.41173970783532,39.28629401704181,36.350774070358554,-2.9355199466832573,88.7,87.94082337317398,88.91571263867574,87.72511073449824,-1.1906019041774982,14.1,13.431925630810095,13.979662673416252,13.552262957393841,-0.42739971602241056,23.2,18.61766268260292,22.146082548214203,19.50366496178428,-2.6424175864299215,7.9,6.875431606905711,8.90165753027226,6.1017748110214995,-2.7998827192507605,0.2909775915451345,5.456521739130435,0.6123806592460533,0.38761934075394666,0.2886356859448591,-0.027698141110066188,8.0,1081.4782608695652,4.35,4.239936444199246,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T22:05:00Z,projected,projected,0,0,0,0
823514,2026-08-08,2026-08-08T19:05:00Z,Atlanta Braves @ New York Yankees,away,Chris Sale,New York Yankees,9,measured,471.0,0.32103773336831287,0.3151075872859755,-0.005930146082337384,0.27646888305431383,0.3151075872859755,0.3163338270549253,0.27743197207374726,-0.03890185498117804,0.27171956471758457,0.2706662681436441,-0.045667558911281214,0.221,0.2443872509960159,0.24378504023576478,0.2215459259431456,-0.022239114292619183,0.327,0.4242103585657371,0.3969490219731558,0.34945743552021385,-0.047491586452941936,32.9,42.70650730411686,39.28629401704181,35.764230896809906,-3.5220631202319055,87.4,89.802416998672,88.91571263867574,88.28670435999625,-0.6290082786794926,12.3,13.752191235059762,13.979662673416252,12.07252856164351,-1.9071341117727414,30.4,24.106401062417,22.146082548214203,33.09093564074024,10.944853092526039,5.5,8.49827357237716,8.90165753027226,5.2507641963445435,-3.6508933339277165,0.284152739235106,5.56875,0.6180124126757554,0.38198758732424465,0.28837811050348544,-0.027955716551439858,8.0,991.2357142857143,4.0256410256410255,4.038243082642868,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T19:05:00Z,projected,projected,0,0,0,0
823514,2026-08-08,2026-08-08T19:05:00Z,Atlanta Braves @ New York Yankees,home,Gerrit Cole,Atlanta Braves,9,measured,302.0,0.331532709510334,0.331140677637824,-0.00039203187250996807,0.2891727832474178,0.331140677637824,0.3163338270549253,0.30282746514700387,-0.013506361907921427,0.2898801828434761,0.30344879987778856,-0.012885027177136743,0.233,0.2517774236387782,0.24378504023576478,0.2406388006872824,-0.0031462395484823658,0.376,0.4323537848605578,0.3969490219731558,0.4095362731957138,0.012587251222557994,42.6,42.84286852589642,39.28629401704181,46.456563156898525,7.170269139856714,90.1,89.98924302788845,88.91571263867574,91.1735303892127,2.257817750536958,20.8,16.08164674634794,13.979662673416252,22.90198407293169,8.922321399515438,25.8,21.514926958831342,22.146082548214203,25.06470904411079,2.9186264958965857,5.6,8.858247011952193,8.90165753027226,5.572690602647241,-3.328966927625019,0.28776335729584335,6.0,0.6658205505647926,0.3341794494352074,0.3015895151975523,-0.014744311857373016,8.0,1311.3118466898954,4.099547511312217,4.115176466396781,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T19:05:00Z,projected,projected,0,0,0,0
823752,2026-08-08,2026-08-08T23:10:00Z,Minnesota Twins @ Milwaukee Brewers,away,Taj Bradley,Milwaukee Brewers,9,measured,533.0,0.3270437608809523,0.32724933857019545,0.00020557768924317488,0.3055608688965183,0.32724933857019545,0.3163338270549253,0.31603838953212315,-0.0002954375228021444,0.3062001954637442,0.3167660327966645,0.0004322057417391889,0.228,0.24946958831341304,0.24378504023576478,0.23331647454843973,-0.010468565687325043,0.382,0.4142491367861886,0.3969490219731558,0.39864859589709595,0.0016995739239401564,45.4,42.6995219123506,39.28629401704181,49.34439206660214,10.058098049560328,91.0,90.26220451527224,88.91571263867574,92.34649187659649,3.4307792379207456,16.1,8.582841965471447,13.979662673416252,10.703179292055195,-3.276483381361057,26.5,22.547861885790173,22.146082548214203,26.980769112215818,4.834686564001615,9.9,10.600185922974767,8.90165753027226,11.789022469194062,2.8873649389218023,0.3042920165234278,6.034090909090909,0.6649546047710249,0.33504539522897514,0.31459425764349735,-0.0017395694114279436,8.0,903.5909090909091,4.207894736842105,4.313507291829339,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T23:10:00Z,projected,projected,0,0,0,0
823752,2026-08-08,2026-08-08T23:10:00Z,Minnesota Twins @ Milwaukee Brewers,home,Robert Gasser,Minnesota Twins,9,measured,263.0,0.3213607705821361,0.3242154850575677,0.002854714475431619,0.3021086281974845,0.3242154850575677,0.3163338270549253,0.30859684063736037,-0.007736986417564928,0.31558394474555,0.323446918954683,0.007113091899757729,0.24,0.24245949535192565,0.24378504023576478,0.23869503570927186,-0.005090004526492914,0.39,0.3912329349269588,0.3969490219731558,0.3843839792401162,-0.0125650427330396,32.1,37.493944223107576,39.28629401704181,30.635508888664038,-8.650785128377773,86.5,88.72956175298805,88.91571263867574,86.3138491143123,-2.601863524363438,20.6,15.257715803452855,13.979662673416252,21.878053130036605,7.898390456620353,22.1,19.093917662682603,22.146082548214203,19.05418619417692,-3.0918963540372815,6.1,9.61559096945551,8.90165753027226,6.589234051546873,-2.3124234787253872,0.2825180619018798,5.281250000000001,0.5924706861215693,0.4075293138784307,0.2870076302664771,-0.029326196788448222,7.0,1122.0115035209374,4.219251336898395,4.121612189326791,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T23:10:00Z,projected,projected,0,0,0,0
823834,2026-08-08,2026-08-08T20:10:00Z,Los Angeles Angels @ Miami Marlins,away,Walbert Ureña,Miami Marlins,9,measured,423.0,0.3231858721175137,0.32382810319321087,0.0006422310756971639,0.2995097668103374,0.32382810319321087,0.3163338270549253,0.30636722182274223,-0.009966605232183068,0.29663126466825046,0.3036587666884083,-0.012675060366517,0.199,0.24739176626826034,0.24378504023576478,0.201944144889992,-0.04184089534577279,0.294,0.41121992031872506,0.3969490219731558,0.304569730321394,-0.09237929165176179,33.2,42.12767596281541,39.28629401704181,35.60119061774478,-3.6851033992970343,86.9,89.50180610889774,88.91571263867574,87.486093470222,-1.4296191684537405,5.7,13.333094289508635,13.979662673416252,5.053431616092384,-8.926231057323868,22.5,22.88191235059761,22.146082548214203,23.24758912857758,1.1015065803633775,12.3,8.537662682602921,8.90165753027226,11.797044610949447,2.895387080677187,0.3040905526579534,5.493055555555555,0.614104972745316,0.38589502725468405,0.3106773985521104,-0.005656428502814892,6.0,390.0,4.258389261744966,4.191379948987164,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T09:04:53.233280+00:00,2026-08-08T20:10:00Z,projected,projected,0,0,0,0
