game_pk,game_date,away,home,replay_model_tag,replay_config_hash,replay_asof,input_fidelity,replay_error,wf_home_off_edge,wf_away_off_edge,wf_xw_net,wf_lean,wf_delta,actual_full,actual_f5,wf_full_grade,wf_f5_grade,original_model_tag,original_lean,original_xw_net,original_full_grade,original_f5_grade,changed_from_original,source_lineup_status_away,source_lineup_status_home,source_away_sp,source_home_sp,act_sp_ip_away,act_sp_ip_home,B_home,B_away,P_awaySP,P_homeSP,d_lineup,d_sp,expected_sp_ip_away,expected_sp_ip_home,expected_sp_ip_raw_away,expected_sp_ip_raw_home,starter_xwoba_away,starter_xwoba_home,bullpen_xwoba_away,bullpen_xwoba_home,sp_share_away,sp_share_home,bp_share_away,bp_share_home,market_home_prob,wf_market_pick_prob,wf_close_ml,wf_vs_market,wf_roi
823120,2026-07-03,TOR,SEA,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,-0.0288839832420322,-0.0100136240931789,-0.0188703591488532,TOR,0.0188703591488532,2-0,2-0,W,W,xw+plat_consol_v2,TOR,-0.032,W,W,False,,,Dylan Cease,Luis Castillo,7.0,6.0,0.3249126831783154,0.3079667954120712,0.2814493031405668,0.327247692733746,0.0169458877662442,-0.0457983895931792,5.064307806342738,5.005612545134511,5.333333333333333,5.259615384615385,0.2814493031405668,0.327247692733746,0.2852576154622299,0.3048477978558816,0.5644109052256204,0.5589417573616399,0.4355890947743795,0.4410582426383601,0.448942322325369,0.551057677674631,-136.0,AGREE,0.7352941176470589
823527,2026-07-03,MIN,NYY,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,0.008670168176388,-0.0220648949090961,0.0307350630854841,NYY,0.0307350630854841,2-5,2-3,W,W,xw+plat_consol_v2,NYY,0.075,W,W,False,,,Mike Paredes,Gerrit Cole,4.0,5.0,0.3221520930828015,0.3153575103194895,0.3373416052862595,0.3031989888850557,0.006794582763312,0.0341426164012038,4.400796157901917,4.912648000984835,4.5,5.142857142857142,0.3373416052862595,0.3031989888850557,0.3102369414815971,0.291988400524628,0.4827997350235786,0.5500370318590556,0.5172002649764214,0.4499629681409444,0.6748278500382555,0.6748278500382555,-240.0,AGREE,0.4166666666666667
823933,2026-07-03,SD,LAD,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,0.0249491033040888,-0.0397705847516326,0.0647196880557215,LAD,0.0647196880557215,3-4,2-0,W,L,xw+plat_consol_v2,LAD,0.116,W,L,False,,,Michael King,Shohei Ohtani,6.0,6.0,0.3470534803957248,0.3202495190998266,0.3323616440847374,0.2709920995402288,0.0268039612958982,0.0613695445445085,5.329712465719066,5.6997478081187545,5.666666666666666,6.131410256410257,0.3323616440847374,0.2709920995402288,0.2876519564996627,0.2837909614750878,0.591529398296064,0.627830892803443,0.408470601703936,0.372169107196557,0.7009913655260633,0.7009913655260633,-274.0,AGREE,0.364963503649635
824013,2026-07-03,BOS,LAA,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,-0.026082044441901,-0.0303058157767083,0.0042237713348073,LAA,0.0042237713348073,5-2,5-0,L,L,xw+plat_consol_v2,BOS,-0.015,W,W,True,,,Jake Bennett,Reid Detmers,7.666666666666667,5.0,0.3207568035013403,0.3186180846757168,0.2824748345419847,0.281074579269001,0.0021387188256234,0.0014002552729837,5.246773509663964,5.720013435390137,5.5625,6.15686274509804,0.2824748345419847,0.281074579269001,0.3056663612497368,0.3045749809564658,0.5617689326144876,0.6249126478747757,0.4382310673855124,0.3750873521252242,0.5098167539267016,0.5098167539267016,-114.0,AGREE,-1.0
824173,2026-07-03,TB,HOU,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,-0.0001203094473707,0.00228380038939,-0.0024041098367607,TB,0.0024041098367607,3-1,0-0,W,T,xw+plat_consol_v2,TB,-0.004,W,T,False,,,Nick Martinez,Spencer Arrighetti,5.333333333333333,6.0,0.3162834019939193,0.3181160951069726,0.3275189673718983,0.3331255755099866,-0.0018326931130532,-0.0056066081380883,5.371181943746617,4.959677123319377,5.71875,5.201923076923077,0.3275189673718983,0.3331255755099866,0.3041572412867558,0.3016792797770019,0.5960431941748513,0.5611593492568514,0.4039568058251487,0.4388406507431486,0.5,0.5,-110.0,DIVERGE,0.9090909090909092
824336,2026-07-03,SF,COL,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,-0.015936265298453,0.0064588080538665,-0.0223950733523196,SF,0.0223950733523196,3-15,2-14,L,L,xw+plat_consol_v2,SF,-0.059,L,L,False,,,Logan Webb,Ryan Feltner,3.0,6.0,0.3153730439513943,0.3134326352456206,0.3007543104340878,0.3392866784691078,0.0019404087057737,-0.0385323680350199,6.391331103224379,4.9436693248080426,7.0,5.181818181818182,0.3007543104340878,0.3392866784691078,0.3134365335751234,0.3161645635781061,0.6889089363677077,0.5339131092264403,0.3110910636322923,0.4660868907735597,0.41191381495564,0.5880861850443599,-160.0,AGREE,-1.0
824417,2026-07-03,CWS,CLE,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,-0.007462851604205,0.0035628581699587,-0.0110257097741637,CWS,0.0110257097741637,3-4,3-1,L,W,xw+plat_consol_v2,CWS,-0.001,L,W,False,,,Anthony Kay,Gavin Williams,4.0,4.666666666666667,0.3035432550918757,0.325295633299682,0.3462735270023865,0.3260383990469153,-0.0217523782078063,0.0202351279554711,4.526863371105673,5.124804456641754,4.658333333333333,5.409313725490196,0.3462735270023865,0.3260383990469153,0.2980215795406846,0.2999174581707667,0.5237859375499121,0.5596024242153714,0.4762140624500879,0.4403975757846285,0.552982006111132,0.447017993888868,114.0,DIVERGE,-1.0
824498,2026-07-03,BAL,CIN,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,-0.0004031844445938,0.0299994935247942,-0.0304026779693881,BAL,0.0304026779693881,3-0,3-0,W,W,xw+plat_consol_v2,BAL,-0.053,W,W,False,,,Trevor Rogers,Brady Singer,5.0,5.0,0.3289179651824191,0.3296992205743882,0.3141252565448844,0.3499309869980452,-0.000781255391969,-0.0358057304531608,5.449144562438414,4.881842103021511,5.816666666666666,5.104166666666666,0.3141252565448844,0.3499309869980452,0.3016535820235315,0.3180501824318114,0.6117713462603489,0.5567123197451271,0.3882286537396511,0.4432876802548728,0.4729987697789844,0.5270012302210156,-123.0,AGREE,0.8130081300813008
824659,2026-07-03,STL,CHC,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,0.0034971619650832,0.0214568300336029,-0.0179596680685197,STL,0.0179596680685197,17-1,14-0,W,W,xw+plat_consol_v2,STL,-0.05,W,W,False,,,Andre Pallante,David Peterson,5.666666666666667,3.6666666666666665,0.3276066874027017,0.3351956147381358,0.3061471247048829,0.3341975788385296,-0.007588927335434,-0.0280504541336467,5.603411020700904,4.566674070012121,6.010416666666666,4.708333333333332,0.3061471247048829,0.3341975788385296,0.3193525416218829,0.3120734923710705,0.6111168870291751,0.4686414405958939,0.3888831129708249,0.5313585594041061,0.552982006111132,0.447017993888868,114.0,DIVERGE,1.14
824904,2026-07-03,NYM,ATL,xw+plat_consol_v12,50ed75241f197c87,2026-07-02,historical_lineup,,0.0040074562103105,0.0042075404136139,-0.0002000842033034,NYM,0.0002000842033034,3-5,2-4,L,L,xw+plat_consol_v2,NYM,-0.016,L,L,False,,,Christian Scott,Grant Holmes,4.0,5.0,0.3281455898879892,0.3317911745581145,0.3272423551017381,0.3318334956454251,-0.0036455846701253,-0.0045911405436869,4.682788608489265,4.367620575479876,4.854166666666666,4.458333333333333,0.3272423551017381,0.3318334956454251,0.2949665847966892,0.2856222287177459,0.5358655848385867,0.5053052912301227,0.4641344151614133,0.4946947087698773,0.5205006473888649,0.4794993526111351,-101.0,DIVERGE,-1.0
