game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
823762,2026-07-20,New York Mets @ Milwaukee Brewers,home,Jacob Misiorowski,R,New York Mets,9,4,3,2,6,0,193,False,True,0.737,0.742,0.413,0.473,0.478,-0.244,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824006,2026-07-20,St. Louis Cardinals @ Los Angeles Angels,away,Kyle Leahy,R,Los Angeles Angels,9,2,7,0,2,0,181,False,True,0.706,0.704,0.684,0.708,0.705,-0.017,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824006,2026-07-20,St. Louis Cardinals @ Los Angeles Angels,home,José Soriano,R,St. Louis Cardinals,9,5,4,0,5,0,210,False,True,0.732,0.741,0.648,0.661,0.675,-0.047,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824087,2026-07-20,San Francisco Giants @ Kansas City Royals,away,Trevor McDonald,R,Kansas City Royals,9,5,3,1,6,0,127,False,True,0.738,0.733,0.744,0.734,0.737,0.015,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824087,2026-07-20,San Francisco Giants @ Kansas City Royals,home,Michael Wacha,R,San Francisco Giants,9,5,4,0,5,0,205,False,True,0.776,0.771,0.714,0.712,0.755,0.033,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824167,2026-07-20,Miami Marlins @ Houston Astros,away,Janson Junk,R,Houston Astros,9,4,5,0,4,1,99,False,True,0.703,0.763,0.687,0.724,0.769,0.047,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824167,2026-07-20,Miami Marlins @ Houston Astros,home,Ronel Blanco,R,Miami Marlins,9,6,2,1,7,0,0,True,False,0.754,0.751,,0.731,0.743,0.021,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824328,2026-07-20,Washington Nationals @ Colorado Rockies,away,Andrew Alvarez,L,Colorado Rockies,9,2,5,2,7,0,59,False,True,0.745,0.748,0.725,0.717,0.748,0.026,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824328,2026-07-20,Washington Nationals @ Colorado Rockies,home,Kyle Freeland,L,Washington Nationals,9,3,5,1,6,1,99,False,True,0.803,0.761,0.903,0.876,0.935,0.213,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824410,2026-07-20,Minnesota Twins @ Cleveland Guardians,away,Joe Ryan,R,Cleveland Guardians,9,5,2,2,7,0,198,False,True,0.695,0.703,0.63,0.663,0.631,-0.091,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824410,2026-07-20,Minnesota Twins @ Cleveland Guardians,home,Tanner Bibee,R,Minnesota Twins,9,3,3,3,6,1,204,False,True,0.762,0.772,0.701,0.705,0.743,0.021,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824654,2026-07-20,Detroit Tigers @ Chicago Cubs,away,Jack Flaherty,R,Chicago Cubs,9,2,5,2,4,0,165,False,True,0.754,0.751,0.741,0.734,0.766,0.044,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824654,2026-07-20,Detroit Tigers @ Chicago Cubs,home,Jameson Taillon,R,Detroit Tigers,9,6,3,0,6,0,143,False,True,0.746,0.749,0.858,0.82,0.837,0.115,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824736,2026-07-20,Baltimore Orioles @ Boston Red Sox,away,Shane Baz,R,Boston Red Sox,9,4,4,1,5,0,207,False,True,0.74,0.737,0.745,0.745,0.756,0.034,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824736,2026-07-20,Baltimore Orioles @ Boston Red Sox,home,Payton Tolle,L,Baltimore Orioles,9,1,7,1,8,2,107,False,True,0.866,0.724,0.612,0.632,0.632,-0.09,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824898,2026-07-20,San Diego Padres @ Atlanta Braves,away,JP Sears,L,Atlanta Braves,9,4,4,1,5,1,18,True,False,0.699,0.726,0.691,0.704,0.722,0.0,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
824898,2026-07-20,San Diego Padres @ Atlanta Braves,home,Bryce Elder,R,San Diego Padres,9,4,5,0,4,0,156,False,True,0.664,0.677,0.729,0.708,0.669,-0.053,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
825058,2026-07-20,Athletics @ Arizona Diamondbacks,away,Jeffrey Springs,L,Arizona Diamondbacks,9,0,5,4,9,2,301,False,True,0.761,0.746,0.883,0.857,0.877,0.155,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
825058,2026-07-20,Athletics @ Arizona Diamondbacks,home,Mitch Bratt,L,Athletics,9,1,7,1,8,2,10,True,False,0.761,0.764,0.71,0.729,0.77,0.048,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
