gamePk,date,away,home,venue,pythag_tag,pythag_basis,home_prior_games_all,away_prior_games_all,home_prior_games_split,away_prior_games_split,home_rs_hat,home_ra_hat,away_rs_hat,away_ra_hat,home_strength,away_strength,league_hfa_p,pythag_p_home,pythag_p_away,pythag_split_p_home,pythag_lean,pythag_lean_p,final_home_runs,final_away_runs,home_win,pythag_grade_fg,is_doubleheader_pair,pythag_split_basis
824702,2026-03-30,Los Angeles Angels,Chicago Cubs,Wrigley Field,pythag_v1,league,3.0,4.0,3.0,4.0,4.518076457360318,4.526206538661131,4.546156485929993,4.521962937542896,0.49917748928389455,0.5024411867958124,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Chicago Cubs,0.5391498881431768,7.0,2.0,1.0,W,False,league
824863,2026-03-30,Texas Rangers,Baltimore Orioles,Oriole Park at Camden Yards,pythag_v1,league,3.0,3.0,3.0,3.0,4.46929596955544,4.46929596955544,4.509946376059505,4.477426050856253,0.5,0.5033108444944467,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Baltimore Orioles,0.5391498881431768,2.0,5.0,0.0,L,False,league
824943,2026-03-30,Athletics,Atlanta Braves,Truist Park,pythag_v1,league,3.0,3.0,3.0,3.0,4.485556132157066,4.428645563051375,4.46929596955544,4.509946376059505,0.5058414102310199,0.4958577212131316,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Atlanta Braves,0.5391498881431768,4.0,0.0,1.0,W,False,league
825108,2026-03-30,Detroit Tigers,Arizona Diamondbacks,Chase Field,pythag_v1,league,3.0,3.0,0.0,3.0,4.444905725653001,4.509946376059505,4.485556132157066,4.4367756443521875,0.4933544701322668,0.5050024032833685,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Arizona Diamondbacks,0.5391498881431768,9.0,6.0,1.0,W,False,league
822836,2026-03-31,Colorado Rockies,Toronto Blue Jays,Rogers Centre,pythag_v1,league,4.0,4.0,4.0,4.0,4.414932362122788,4.447190426638917,4.414932362122788,4.366545265348595,0.4966694409973992,0.5050416505012543,0.5367965367965368,0.5367965367965368,0.4632034632034632,0.5367965367965368,Toronto Blue Jays,0.5367965367965368,5.0,1.0,1.0,W,False,league
823077,2026-03-31,New York Mets,St. Louis Cardinals,Busch Stadium,pythag_v1,league,4.0,4.0,4.0,1.0,4.439125910509885,4.463319458896982,4.42299687825182,4.366545265348595,0.49751338336309187,0.5058764787476154,0.5367965367965368,0.5367965367965368,0.4632034632034632,0.5367965367965368,St. Louis Cardinals,0.5367965367965368,3.0,0.0,1.0,W,False,league
823158,2026-03-31,New York Yankees,Seattle Mariners,T-Mobile Park,pythag_v1,league,5.0,4.0,5.0,4.0,4.403612903225806,4.323612903225806,4.358480749219562,4.269771071800208,0.5083869932981336,0.5094066143611874,0.5367965367965368,0.5367965367965368,0.4632034632034632,0.5367965367965368,Seattle Mariners,0.5367965367965368,0.0,5.0,0.0,L,False,league
823322,2026-03-31,San Francisco Giants,San Diego Padres,Petco Park,pythag_v1,league,4.0,4.0,4.0,1.0,4.318158168574401,4.374609781477627,4.27783558792924,4.366545265348595,0.4940581043280861,0.49061093398002864,0.5367965367965368,0.5367965367965368,0.4632034632034632,0.5367965367965368,San Diego Padres,0.5367965367965368,3.0,9.0,0.0,L,False,league
823485,2026-03-31,Washington Nationals,Philadelphia Phillies,Citizens Bank Park,pythag_v1,league,4.0,4.0,4.0,4.0,4.358480749219562,4.479448491155046,4.495577523413111,4.398803329864724,0.487477920746861,0.5099546198619487,0.5367965367965368,0.5367965367965368,0.4632034632034632,0.5367965367965368,Philadelphia Phillies,0.5367965367965368,3.0,2.0,1.0,W,False,league
823807,2026-03-31,Tampa Bay Rays,Milwaukee Brewers,American Family Field,pythag_v1,league,4.0,4.0,4.0,4.0,4.495577523413111,4.35041623309053,4.455254942767949,4.439125910509885,0.51501183311346,0.5016592528206204,0.5367965367965368,0.5367965367965368,0.4632034632034632,0.5367965367965368,Milwaukee Brewers,0.5367965367965368,6.0,2.0,1.0,W,False,league
